"","X","Date","Price.Per.Barell","Exrates","PMS","AGO","Kero","Average","PPB_ksh"
"1",0,2010-01-14,89.15,80.56800455,94.03,87.45,75.83,85.77,45.1766627186144
"2",1,2011-01-14,89.17,81.02907143,95.67,88.71,77.51,87.2966666666667,45.4453883855154
"3",2,2011-02-14,88.58,81.4734,98.08,91.72,79.52,89.7733333333333,45.3922496509214
"4",3,2011-03-14,102.86,84.2055087,102.44,94.53,83.97,93.6466666666667,54.4775056599912
"5",4,2011-04-14,109.53,83.88981579,111.17,107.52,90.91,103.2,57.7926380494289
"6",5,2011-05-14,100.9,85.43300952,115.35,108.02,92.61,105.326666666667,54.2184455661865
"7",6,2011-06-14,96.26,89.04928095,114.93,106.3,85.71,102.313333333333,53.9146096248003
"8",7,2011-07-14,97.3,89.89773333,115.39,106.12,86.16,102.556666666667,55.0163497893515
"9",8,2011-08-14,86.33,92.78595909,117.22,108.97,88.96,105.05,50.3818595398434
"10",9,2011-09-14,85.52,96.35726364,117.75,108.77,88.29,104.936666666667,51.8301351436744
"11",10,2011-10-14,86.32,101.26979,120.5,110.94,89.95,107.13,54.9821263777596
"12",11,2011-11-14,97.16,93.67556364,124.13,114.3,94.87,111.1,57.2458504513642
"13",12,2011-12-14,98.56,86.662845,119.06,110.98,90.74,106.926666666667,53.7234417460218
"14",13,2012-01-14,100.27,86.34256667,111.95,107.9,87.11,102.32,54.4535452544242
"15",14,2012-02-14,102.2,83.17611429,111.32,105.29,83.74,100.116666666667,53.4662486976414
"16",15,2012-03-14,106.16,83.0009875,111.69,105.12,84.13,100.313333333333,55.4210002704572
"17",16,2012-04-14,103.32,83.18778947,118.5,108.8,86.28,104.526666666667,54.0597673315328
"18",17,2012-05-14,94.66,84.46184545,121.43,108.44,87,105.623333333333,50.2871771199258
"19",18,2012-06-14,82.3,84.78874,117.67,105.51,83.2,102.126666666667,43.8902654380779
"20",19,2012-07-14,87.9,84.14471818,108.46,97.51,74.4,93.4566666666667,46.5206662558777
"21",20,2012-08-14,94.13,84.07544545,106.48,97.08,73.97,92.51,49.776851878788
"22",21,2012-09-14,94.51,84.6133,108.95,101.07,79.65,96.5566666666667,50.2975217497956
"23",22,2012-10-14,89.49,85.1116087,115.26,106.11,86.01,102.46,47.9063957642808
"24",23,2012-11-14,86.53,85.62856818,113.68,105.85,84.57,101.366666666667,46.6031826191295
"25",24,2012-12-14,87.86,85.99398889,112.61,105.79,86.44,101.613333333333,47.5214281645097
"26",25,2013-01-14,94.76,86.89961364,111.6,103.99,83.86,99.8166666666667,51.7932410121794
"27",26,2013-02-14,95.31,87.44553,113.57,106.2,85.93,101.9,52.4211174558148
"28",27,2013-03-14,92.94,85.81764211,117.69,107.37,88.54,104.533333333333,50.1659957085565
