,Date,Price Per Barell,Exrates,PMS,AGO,Kero
0,14/01/2010,89.15,80.56800455,94.03,87.45,75.83
1,14/01/2011,89.17,81.02907143,95.67,88.71,77.51
2,14/02/2011,88.58,81.4734,98.08,91.72,79.52
3,14/03/2011,102.86,84.2055087,102.44,94.53,83.97
4,14/04/2011,109.53,83.88981579,111.17,107.52,90.91
5,14/05/2011,100.9,85.43300952,115.35,108.02,92.61
6,14/06/2011,96.26,89.04928095,114.93,106.3,85.71
7,14/07/2011,97.3,89.89773333,115.39,106.12,86.16
8,14/08/2011,86.33,92.78595909,117.22,108.97,88.96
9,14/09/2011,85.52,96.35726364,117.75,108.77,88.29
10,14/10/2011,86.32,101.26979,120.5,110.94,89.95
11,14/11/2011,97.16,93.67556364,124.13,114.3,94.87
12,14/12/2011,98.56,86.662845,119.06,110.98,90.74
13,14/01/2012,100.27,86.34256667,111.95,107.9,87.11
14,14/02/2012,102.2,83.17611429,111.32,105.29,83.74
15,14/03/2012,106.16,83.0009875,111.69,105.12,84.13
16,14/04/2012,103.32,83.18778947,118.5,108.8,86.28
17,14/05/2012,94.66,84.46184545,121.43,108.44,87
18,14/06/2012,82.3,84.78874,117.67,105.51,83.2
19,14/07/2012,87.9,84.14471818,108.46,97.51,74.4
20,14/08/2012,94.13,84.07544545,106.48,97.08,73.97
21,14/09/2012,94.51,84.6133,108.95,101.07,79.65
22,14/10/2012,89.49,85.1116087,115.26,106.11,86.01
23,14/11/2012,86.53,85.62856818,113.68,105.85,84.57
24,14/12/2012,87.86,85.99398889,112.61,105.79,86.44
25,14/01/2013,94.76,86.89961364,111.6,103.99,83.86
26,14/02/2013,95.31,87.44553,113.57,106.2,85.93
27,14/03/2013,92.94,85.81764211,117.69,107.37,88.54
28,14/04/2013,92.02,84.189045,117.65,106.44,83.83
29,14/05/2013,94.51,84.14617727,113.24,101.06,79.46
30,14/06/2013,95.77,85.48845,108.18,99.16,81.52
31,14/07/2013,104.67,86.85947391,109.52,102.86,79.49
32,14/08/2013,106.57,87.4929381,112.26,104.44,83.93
33,14/09/2013,106.29,87.41287143,113.88,105.55,85.56
34,14/10/2013,100.54,85.31037727,112.27,104.47,85.01
